Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Age at launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Comment[Feeding Schedule]	Factor Value[Genotype]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Tissue]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[habitat]	Term Source REF	Term Accession Number	Parameter Value[Housing Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
MHU3_FL12	GSM4614064	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Temporal Bone	MESH	http://purl.bioontology.org/ontology/MESH/D013701	Temporal Bone	MESH	http://purl.bioontology.org/ontology/MESH/D013701	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC02	GSM4614065	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Ground control			Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC06	GSM4614066	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Ground control			Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC07	GSM4614067	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Ground control			Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC10	GSM4614068	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Ground control			Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC11	GSM4614069	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Ground control			Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC12	GSM4614070	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Ground control			Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL01	GSM4614071	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL02	GSM4614072	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL05	GSM4614073	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL08	GSM4614074	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL10	GSM4614075	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_FL11	GSM4614076	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Kidney	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12415	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	31	day	UO	http://purl.obolibrary.org/obo/UO_0000033	space station	RBO	http://purl.obolibrary.org/obo/RBO_00000046	8.99	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.29	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC01	GSM4614077	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Ground control			Cerebrum	MESH	http://purl.bioontology.org/ontology/MESH/D054022	Cerebrum	MESH	http://purl.bioontology.org/ontology/MESH/D054022	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC02	GSM4614078	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Ground control			Cerebrum	MESH	http://purl.bioontology.org/ontology/MESH/D054022	Cerebrum	MESH	http://purl.bioontology.org/ontology/MESH/D054022	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC03	GSM4614079	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Ground control			Cerebrum	MESH	http://purl.bioontology.org/ontology/MESH/D054022	Cerebrum	MESH	http://purl.bioontology.org/ontology/MESH/D054022	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
MHU3_GC04	GSM4614080	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NCrl	EFO	http://www.ebi.ac.uk/efo/EFO_0011030	Charles River Laboratories	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Charles River Formula 1 (CRF-1)	OSD	https://osdr.nasa.gov/	ad libitum	Nrf2KO			Ground control			Cerebrum	MESH	http://purl.bioontology.org/ontology/MESH/D054022	Cerebrum	MESH	http://purl.bioontology.org/ontology/MESH/D054022	Animal Husbandry	12:12 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	Habitat Cage Unit (HCU)			22.9	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Exsanguination	MESH	http://purl.bioontology.org/ontology/MESH/D058734	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
